Daerah,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,Dampak Kerusakan Lingkungan,Produksi/Eksplorasi Pertambangan,"Bencana Alam (Banjir, Gempa Bumi, Abrasi, Longsor, dsb)",Energi Baru dan Terbarukan,Pendidikan,Kesehatan,Pelayanan Publik,Ketimpangan Pembangunan antara daerah,Kelangkaan dan Naiknya Harga Kebutuhan Pokok,Krisis Iklim/Perubahan Iklim,Praktik Korupsi dan Penyalahgunaan Kewenangan,Turisme/Pariwisata,Kontestasi Politik di Pilkada,Kelangkaan/Kekeringan Air Bersih,Lainnya,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,Dampak dan Kerusakan Lingkungan,Produksi/Eksplorasi Pertambangan,"Bencana Alam (Banjir, Gempa Bumi, Abrasi, Longsor, dsb)",Energi Baru dan Terbarukan,Pendidikan,Kesehatan,Pelayanan Publik,Ketimpangan Pembangunan antara daerah,Kelangkaan dan Naiknya Harga Kebutuhan Pokok,Krisis Iklim/Perubahan Iklim,Praktik Korupsi dan Penyalahgunaan Kewenangan,Turisme/Pariwisata,Kontestasi Politik di Pilkada,Kelangkaan/Kekeringan Air Bersih,Lainnya,Response,Response,Response,Response,Response
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,,,,,,,,,,,,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,,,,,,,,,,,,Mineral Kritis,Mineral Kritis,Ya,Ya,Ya
Kota Palu,,,Dampak Kerusakan Lingkungan,Produksi/Eksplorasi Pertambangan,"Bencana Alam (Banjir, Gempa Bumi, Abrasi, Longsor, dsb)",,,,,,,Krisis Iklim/Perubahan Iklim,,,,,,,,Dampak dan Kerusakan Lingkungan,Produksi/Eksplorasi Pertambangan,"Bencana Alam (Banjir, Gempa Bumi, Abrasi, Longsor, dsb)",,,,,,,Krisis Iklim/Perubahan Iklim,,,,,,Krisis Iklim/Perubahan Iklim,Energi Baru Terbarukan (EBT),Ya,Ya,Ya
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,,Dampak Kerusakan Lingkungan,,,,Pendidikan,Kesehatan,,,,,,,,,,Kemiskinan/Kesejahteraan Masyarakat,,Dampak dan Kerusakan Lingkungan,,,,Pendidikan,Kesehatan,,,,,,,,,,Mineral Kritis,Mineral Kritis,Tidak,Ya,Ya
Kota Palu,,,Dampak Kerusakan Lingkungan,,"Bencana Alam (Banjir, Gempa Bumi, Abrasi, Longsor, dsb)",,,,,,,,,,,,,,,Dampak dan Kerusakan Lingkungan,,,,,,,,,,,,,,,Krisis Iklim/Perubahan Iklim,Krisis Iklim/Perubahan Iklim,Ya,Ya,Ya
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,Produksi/Eksplorasi Pertambangan,,,,,,,,,,,,,,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,Produksi/Eksplorasi Pertambangan,,,,,,,,,,,,,,Mineral Kritis,Mineral Kritis,Tidak,Ya,Ya
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,,,Produksi/Eksplorasi Pertambangan,,,Pendidikan,,,,,,Praktik Korupsi dan Penyalahgunaan Kewenangan,,,,,Kemiskinan/Kesejahteraan Masyarakat,,,,,,Pendidikan,Kesehatan,,,,,Praktik Korupsi dan Penyalahgunaan Kewenangan,,,,,Krisis Iklim/Perubahan Iklim,Energi Baru Terbarukan (EBT),Ya,Ya,Tidak
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,Pendidikan,,,,,,,,Kontestasi Politik di Pilkada,,,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,Pendidikan,,,,,,,,,,,Krisis Iklim/Perubahan Iklim,Krisis Iklim/Perubahan Iklim,Ya,Ya,Ya
Kota Palu,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,Pendidikan,,,Ketimpangan Pembangunan antara daerah,,,,,Kontestasi Politik di Pilkada,,,Kemiskinan/Kesejahteraan Masyarakat,Lapangan Pekerjaan,,,,,,,,Ketimpangan Pembangunan antara daerah,,,,,,,,Krisis Iklim/Perubahan Iklim,Krisis Iklim/Perubahan Iklim,Ya,Ya,Ya
Kota Palu,,,,,,,,Kesehatan,,,,,Praktik Korupsi dan Penyalahgunaan Kewenangan,,,,,,,,,,Energi Baru dan Terbarukan,,,Pelayanan Publik,,,,,,,,,Transisi Energi,Transisi Energi,Tidak Tahu,Ya,Tidak Tahu
